combo_key,option,match_no,winner_slot,winner_group,third_group
ABCDGHJK,437,79,1A,A,H
ABCDGHJK,437,85,1B,B,G
ABCDGHJK,437,81,1D,D,B
ABCDGHJK,437,74,1E,E,C
ABCDGHJK,437,82,1G,G,A
ABCDGHJK,437,77,1I,I,D
ABCDGHJK,437,87,1K,K,J
ABCDGHJK,437,80,1L,L,K
ABCDGHJL,436,79,1A,A,H
ABCDGHJL,436,85,1B,B,G
ABCDGHJL,436,81,1D,D,B
ABCDGHJL,436,74,1E,E,C
ABCDGHJL,436,82,1G,G,A
ABCDGHJL,436,77,1I,I,D
ABCDGHJL,436,87,1K,K,L
ABCDGHJL,436,80,1L,L,J
ABCDGHKL,435,79,1A,A,H
ABCDGHKL,435,85,1B,B,G
ABCDGHKL,435,81,1D,D,B
ABCDGHKL,435,74,1E,E,C
ABCDGHKL,435,82,1G,G,A
ABCDGHKL,435,77,1I,I,D
ABCDGHKL,435,87,1K,K,L
ABCDGHKL,435,80,1L,L,K
ABCDGIJK,434,79,1A,A,C
ABCDGIJK,434,85,1B,B,J
ABCDGIJK,434,81,1D,D,B
ABCDGIJK,434,74,1E,E,D
ABCDGIJK,434,82,1G,G,A
ABCDGIJK,434,77,1I,I,G
ABCDGIJK,434,87,1K,K,I
ABCDGIJK,434,80,1L,L,K
ABCDGIJL,433,79,1A,A,C
ABCDGIJL,433,85,1B,B,J
ABCDGIJL,433,81,1D,D,B
ABCDGIJL,433,74,1E,E,D
ABCDGIJL,433,82,1G,G,A
ABCDGIJL,433,77,1I,I,G
ABCDGIJL,433,87,1K,K,L
ABCDGIJL,433,80,1L,L,I
ABCDGIKL,432,79,1A,A,I
ABCDGIKL,432,85,1B,B,G
ABCDGIKL,432,81,1D,D,B
ABCDGIKL,432,74,1E,E,C
ABCDGIKL,432,82,1G,G,A
ABCDGIKL,432,77,1I,I,D
ABCDGIKL,432,87,1K,K,L
ABCDGIKL,432,80,1L,L,K
ABCDGJKL,431,79,1A,A,C
ABCDGJKL,431,85,1B,B,J
ABCDGJKL,431,81,1D,D,B
ABCDGJKL,431,74,1E,E,D
ABCDGJKL,431,82,1G,G,A
ABCDGJKL,431,77,1I,I,G
ABCDGJKL,431,87,1K,K,L
ABCDGJKL,431,80,1L,L,K
ABCDHIJK,430,79,1A,A,H
ABCDHIJK,430,85,1B,B,J
ABCDHIJK,430,81,1D,D,B
ABCDHIJK,430,74,1E,E,C
ABCDHIJK,430,82,1G,G,A
ABCDHIJK,430,77,1I,I,D
ABCDHIJK,430,87,1K,K,I
ABCDHIJK,430,80,1L,L,K
ABCDHIJL,429,79,1A,A,H
ABCDHIJL,429,85,1B,B,J
ABCDHIJL,429,81,1D,D,B
ABCDHIJL,429,74,1E,E,C
ABCDHIJL,429,82,1G,G,A
ABCDHIJL,429,77,1I,I,D
ABCDHIJL,429,87,1K,K,L
ABCDHIJL,429,80,1L,L,I
ABCDHIKL,428,79,1A,A,H
ABCDHIKL,428,85,1B,B,I
ABCDHIKL,428,81,1D,D,B
ABCDHIKL,428,74,1E,E,C
ABCDHIKL,428,82,1G,G,A
ABCDHIKL,428,77,1I,I,D
ABCDHIKL,428,87,1K,K,L
ABCDHIKL,428,80,1L,L,K
ABCDHJKL,427,79,1A,A,H
ABCDHJKL,427,85,1B,B,J
ABCDHJKL,427,81,1D,D,B
ABCDHJKL,427,74,1E,E,C
ABCDHJKL,427,82,1G,G,A
ABCDHJKL,427,77,1I,I,D
ABCDHJKL,427,87,1K,K,L
ABCDHJKL,427,80,1L,L,K
ABCDIJKL,426,79,1A,A,I
ABCDIJKL,426,85,1B,B,J
ABCDIJKL,426,81,1D,D,B
ABCDIJKL,426,74,1E,E,C
ABCDIJKL,426,82,1G,G,A
ABCDIJKL,426,77,1I,I,D
ABCDIJKL,426,87,1K,K,L
ABCDIJKL,426,80,1L,L,K
ABCEFGHI,425,79,1A,A,H
ABCEFGHI,425,85,1B,B,G
ABCEFGHI,425,81,1D,D,B
ABCEFGHI,425,74,1E,E,C
ABCEFGHI,425,82,1G,G,A
ABCEFGHI,425,77,1I,I,F
ABCEFGHI,425,87,1K,K,E
ABCEFGHI,425,80,1L,L,I
ABCEFGHJ,424,79,1A,A,H
ABCEFGHJ,424,85,1B,B,G
ABCEFGHJ,424,81,1D,D,B
ABCEFGHJ,424,74,1E,E,C
ABCEFGHJ,424,82,1G,G,A
ABCEFGHJ,424,77,1I,I,F
ABCEFGHJ,424,87,1K,K,E
ABCEFGHJ,424,80,1L,L,J
ABCEFGHK,423,79,1A,A,H
ABCEFGHK,423,85,1B,B,G
ABCEFGHK,423,81,1D,D,B
ABCEFGHK,423,74,1E,E,C
ABCEFGHK,423,82,1G,G,A
ABCEFGHK,423,77,1I,I,F
ABCEFGHK,423,87,1K,K,E
ABCEFGHK,423,80,1L,L,K
ABCEFGHL,422,79,1A,A,H
ABCEFGHL,422,85,1B,B,G
ABCEFGHL,422,81,1D,D,B
ABCEFGHL,422,74,1E,E,C
ABCEFGHL,422,82,1G,G,A
ABCEFGHL,422,77,1I,I,F
ABCEFGHL,422,87,1K,K,L
ABCEFGHL,422,80,1L,L,E
ABCEFGIJ,421,79,1A,A,E
ABCEFGIJ,421,85,1B,B,G
ABCEFGIJ,421,81,1D,D,B
ABCEFGIJ,421,74,1E,E,C
ABCEFGIJ,421,82,1G,G,A
ABCEFGIJ,421,77,1I,I,F
ABCEFGIJ,421,87,1K,K,I
ABCEFGIJ,421,80,1L,L,J
ABCEFGIK,420,79,1A,A,E
ABCEFGIK,420,85,1B,B,G
ABCEFGIK,420,81,1D,D,B
ABCEFGIK,420,74,1E,E,C
ABCEFGIK,420,82,1G,G,A
ABCEFGIK,420,77,1I,I,F
ABCEFGIK,420,87,1K,K,I
ABCEFGIK,420,80,1L,L,K
ABCEFGIL,419,79,1A,A,E
ABCEFGIL,419,85,1B,B,G
ABCEFGIL,419,81,1D,D,B
ABCEFGIL,419,74,1E,E,C
ABCEFGIL,419,82,1G,G,A
ABCEFGIL,419,77,1I,I,F
ABCEFGIL,419,87,1K,K,L
ABCEFGIL,419,80,1L,L,I
ABCEFGJK,418,79,1A,A,E
ABCEFGJK,418,85,1B,B,G
