rank,player_name,team,position_group,minutes,value_share,minutes_weight,overachievement_mult,shrinkage,carry_score,vaep_raw
162,Maximilian Wöber,Austria,DEF,190,0.020679795030833562,0.5277777777777778,0.9335680495066926,0.41304347826086957,0.004208613842946369,0.11234373817419484
163,Fabian Rieder,Switzerland,MID,233,0.009719473332806709,0.5177777777777778,1.744452903586076,0.46322067594433397,0.0040666174949805685,0.08990565605783037
164,Toni Kroos,Germany,MID,506,0.06011689642767898,1.0,0.1,0.6520618556701031,0.003919993504175975,0.7566997436981059
165,Antonio Rüdiger,Germany,DEF,519,0.05494265902972335,1.0,0.1,0.6577946768060836,0.0036140988639323723,0.6915708973083664
166,Alexander Prass,Austria,DEF,194,0.014169739870472303,0.5388888888888889,0.9335680495066926,0.41810344827586204,0.002980511734409005,0.07697762688804678
167,José Ignacio Fernández Iglesias,Spain,DEF,294,0.004851420024507191,0.4666666666666667,2.1328829340552846,0.5212765957446809,0.002517160471516647,0.07199628983467313
168,Orkun Kökçü,Turkey,MID,237,0.003918252212236966,0.5266666666666666,2.566679355379114,0.46745562130177515,0.0024759406140402924,0.03830204741286646
169,Nicolas Seiwald,Austria,MID,390,0.0044344508156875535,1.0,0.9335680495066926,0.5909090909090909,0.00244628185373874,0.024090315239641256
170,John McGinn,Scotland,FWD,237,0.0019570267299132515,0.8777777777777778,3.0004757767029426,0.46745562130177515,0.0024094163384272413,0.007621453980544538
171,Ricardo Iván Rodríguez Araya,Switzerland,DEF,509,0.0017559110872946402,1.0,1.744452903586076,0.6534017971758665,0.002001437785734391,0.016242272896576336
172,Yannick Ferreira Carrasco,Belgium,MID,229,0.0036651734686595277,0.6361111111111111,1.3446812754032118,0.4589178356713427,0.001438738316291766,0.022116984557281047
173,Niclas Füllkrug,Germany,UNK,192,0.06124406071675268,0.4266666666666667,0.1,0.4155844155844156,0.0010859552930554937,0.7708875175076505
174,Luka Lochoshvili,Georgia,DEF,186,0.002596157298973272,0.5166666666666667,1.7557945012997307,0.40789473684210525,0.0009606456755163643,0.013417309915180257
175,Ylber Ramadani,Albania,MID,277,0.0009979018303861616,1.0,1.7671360990133853,0.506398537477148,0.000892997536244783,0.003636723996410518
176,Jack Hendry,Scotland,DEF,295,2.0429021521913428e-06,1.0,3.0004757767029426,0.5221238938053098,3.2004515653773583e-06,7.955887623656462e-06
177,Radu Drăgușin,Romania,DEF,385,0.0,1.0,1.3446812754032118,0.5877862595419847,0.0,-0.3749798948414692
178,András Schäfer,Hungary,MID,296,0.0,1.0,2.1782493249099044,0.5229681978798587,0.0,-0.27237358825892516
179,Robin Hranáč,Czech Republic,DEF,296,0.0,1.0,1.7671360990133853,0.5229681978798587,0.0,-0.1467599788416829
180,Mario Mitaj,Albania,DEF,291,0.0,1.0,1.7671360990133853,0.5187165775401069,0.0,-0.7426807848139688
