rank,player_name,team,position_group,minutes,xt,xt_p90
42,Kyle Walker,England,DEF,733,0.4419367497107882,0.05426235671755926
43,Fabián Ruiz Peña,Spain,MID,574,0.4249290280383842,0.06662650265410205
44,Yannick Ferreira Carrasco,Belgium,MID,229,0.4121019981331248,0.1619614839824508
45,Rúben Santos Gato Alves Dias,Portugal,DEF,440,0.41076656869417794,0.08402043450562731
46,Adrien Rabiot,France,MID,386,0.40383535031996537,0.09415850136994011
47,Petar Stojanović,Slovenia,MID,325,0.3935699792373416,0.10898860963495613
48,Maximilian Mittelstädt,Germany,DEF,327,0.3935486772147672,0.10831614969213778
49,Alexander Prass,Austria,DEF,194,0.39221702415801407,0.18195635141351166
50,Timi Elšnik,Slovenia,MID,372,0.38892280653310063,0.09409422738704047
51,Dan Ndoye,Switzerland,DEF,418,0.38836525487119505,0.08361931324977884
52,Giovanni Di Lorenzo,Italy,DEF,390,0.38652767564095375,0.08919869437868162
53,Rafael Alexandre Conceição Leão,Portugal,FWD,293,0.3851324125210955,0.11830005845357881
54,Stefan de Vrij,Netherlands,DEF,584,0.3844104110324968,0.05924133046733683
55,Milos Veljkovic,Serbia,DEF,288,0.38013733122388943,0.11879291600746546
56,John Stones,England,DEF,733,0.3732730377339975,0.045831614455743214
57,Dominik Szoboszlai,Hungary,MID,296,0.36901605513645064,0.11220082757527215
58,Memphis Depay,Netherlands,FWD,475,0.36340975948966614,0.06885658600856832
59,Lorenzo Pellegrini,Italy,FWD,225,0.36318699143450034,0.14527479657380013
60,Abdülkerim Bardakcı,Turkey,DEF,387,0.3527918325471553,0.08204461222026867
61,Dayotchanculle Upamecano,France,DEF,607,0.35003049237359507,0.05189908453644738
62,Alessandro Bastoni,Italy,DEF,390,0.3437265307644753,0.0793215070994943
63,Georgiy Sudakov,Ukraine,MID,276,0.3346815160645219,0.1091352769775615
64,Milan Škriniar,Slovakia,DEF,425,0.33395235730640566,0.07071932272370944
65,Marc Guehi,England,DEF,610,0.332217115469395,0.04901563998728778
66,Rodrigo Hernández Cascante,Spain,MID,555,0.3306956950378245,0.05362632892505262
67,Denzel Dumfries,Netherlands,DEF,482,0.3280618909860475,0.061256369686191435
68,Declan Rice,England,MID,733,0.32666713736218683,0.040109198311864686
69,Joakim Mæhle,Denmark,DEF,306,0.3231779580781583,0.09505234061122303
70,Tijjani Reijnders,Netherlands,MID,527,0.31390178998271095,0.05360751631583299
71,Michel Aebischer,Switzerland,DEF,504,0.31356947800695556,0.05599454964409921
72,Álvaro Borja Morata Martín,Spain,FWD,467,0.3124778568005123,0.0602205719744028
73,Federico Chiesa,Italy,FWD,282,0.31020691256136457,0.09900220613660571
74,Denis Vavro,Slovakia,DEF,425,0.30557911147432165,0.06471087066515047
75,Virgil van Dijk,Netherlands,DEF,584,0.30032568538660537,0.04628306795341521
76,Jerdy Schouten,Netherlands,MID,535,0.2973555512664718,0.05002242918501394
77,Nicolae Claudiu Stanciu,Romania,MID,370,0.29498729254914635,0.07175366575519776
78,Antoine Griezmann,France,MID,416,0.2866305753535222,0.06201142255244471
79,Kléper Laveran Lima Ferreira,Portugal,DEF,423,0.28659565947844573,0.06097779988903101
80,Jannik Vestergaard,Denmark,DEF,384,0.2843497516836883,0.06664447305086445
81,Mykola Matvienko,Ukraine,DEF,288,0.2819274084515433,0.08810231514110728
82,Robert Andrich,Germany,MID,339,0.28091580216840906,0.07457941650488736
83,Xavi Simons,Netherlands,MID,480,0.277927680557097,0.05211144010445568
84,Nicolas Seiwald,Austria,MID,390,0.2736602041806072,0.06315235481090936
85,Manuel Obafemi Akanji,Switzerland,DEF,509,0.27322185759359036,0.048310348101027765
86,Pedro González López,Spain,MID,192,0.27086211127720305,0.12696661466118894
87,Ruben Vargas,Switzerland,MID,317,0.26761436912080955,0.07597884296805318
88,Luka Modrić,Croatia,MID,245,0.2675394050219294,0.09827978143662713
89,Marc Cucurella Saseta,Spain,DEF,588,0.2625345572060084,0.040183860796838014
